date,high,low,Close Price,trade,turnover_in_lakhs,contracts,difference
17-Feb-2021,1621.8,1583.0,1586.5,6397213,102496.588915,52477,38.799999999999955
18-Feb-2021,1605.95,1548.0,1554.3,7360280,115622.6154035,78102,57.950000000000045
19-Feb-2021,1564.2,1533.0,1539.1,8569754,132653.552328,78655,31.200000000000045
22-Feb-2021,1573.9,1539.45,1548.0,14725919,229347.2811795,108365,34.450000000000045
23-Feb-2021,1557.7,1522.65,1529.15,9119953,140189.5576995,100779,35.049999999999955
24-Feb-2021,1613.95,1516.25,1606.45,7157166,111791.0453425,85858,97.70000000000005
25-Feb-2021,1636.25,1602.0,1606.4,10054785,162954.647699,101363,34.25
26-Feb-2021,1588.9,1521.0,1534.4,13956423,215467.184946,86867,67.90000000000009
01-Mar-2021,1572.55,1540.7,1558.9,6768009,105542.2534825,42740,31.84999999999991
02-Mar-2021,1587.5,1551.0,1568.2,8055019,126452.624708,45917,36.5
03-Mar-2021,1596.0,1565.0,1586.85,5611205,88643.145091,47106,31.0
04-Mar-2021,1571.0,1539.1,1552.05,8145719,126449.5616275,61061,31.90000000000009
05-Mar-2021,1545.6,1521.1,1530.0,8722911,133706.2457675,56598,24.5
08-Mar-2021,1555.0,1512.5,1519.5,7558525,115674.37062,54426,42.5
09-Mar-2021,1565.7,1538.25,1562.5,7533348,117258.105475,63489,27.450000000000045
10-Mar-2021,1575.0,1552.15,1555.75,5527508,86219.727974,39852,22.84999999999991
12-Mar-2021,1600.0,1535.05,1551.95,7815602,122702.5374885,72307,64.95000000000005
15-Mar-2021,1548.4,1515.3,1528.65,6115242,93260.4106875,62945,33.100000000000136
16-Mar-2021,1540.4,1510.0,1512.15,6861183,104499.0940105,64547,30.40000000000009
17-Mar-2021,1539.0,1490.2,1495.35,10532214,159470.421059,82899,48.799999999999955
18-Mar-2021,1522.05,1481.15,1491.0,9032770,135940.9752125,74742,40.899999999999864
19-Mar-2021,1511.2,1474.05,1497.5,10617510,157890.4466105,87797,37.15000000000009
22-Mar-2021,1494.9,1460.4,1469.15,7007816,103244.191762,89976,34.5
23-Mar-2021,1507.45,1469.1,1500.15,9880714,146933.4948735,105604,38.350000000000136
24-Mar-2021,1506.45,1471.0,1478.8,8184450,121874.190813,83266,35.450000000000045
25-Mar-2021,1495.55,1450.25,1463.35,11982178,175961.9811175,94038,45.299999999999955
26-Mar-2021,1499.0,1474.0,1491.3,6010629,89365.7956325,39534,25.0
30-Mar-2021,1562.55,1501.55,1553.7,12804032,196890.493269,60399,61.0
31-Mar-2021,1548.0,1488.0,1493.65,15387253,230771.922052,82410,60.0
01-Apr-2021,1499.4,1465.0,1486.75,17881881,264747.0584945,77013,34.40000000000009
05-Apr-2021,1485.0,1431.0,1449.6,8003293,116131.2555475,72337,54.0
06-Apr-2021,1462.65,1432.65,1440.25,7537867,108881.6673705,53534,30.0
07-Apr-2021,1456.7,1421.55,1447.2,12544090,181266.863156,66145,35.15000000000009
08-Apr-2021,1460.9,1430.5,1432.8,8806796,127305.4127895,54160,30.40000000000009
09-Apr-2021,1432.8,1415.1,1421.75,14078908,200326.1801365,80828,17.700000000000045
12-Apr-2021,1399.0,1353.0,1367.05,11274564,154965.908035,109876,46.0
13-Apr-2021,1406.45,1361.0,1400.35,9300341,128645.362735,70653,45.450000000000045
15-Apr-2021,1436.7,1391.0,1430.1,17222492,242879.6684735,93967,45.700000000000045
16-Apr-2021,1445.0,1423.5,1428.65,7803263,112059.42978,90023,21.5
19-Apr-2021,1417.7,1372.3,1412.4,12034621,167723.59445,140994,45.40000000000009
20-Apr-2021,1426.4,1383.95,1391.4,11593135,162917.0686305,97169,42.450000000000045
22-Apr-2021,1426.8,1371.05,1422.5,19242656,268103.336832,113492,55.75
23-Apr-2021,1434.6,1400.2,1414.15,11356764,161077.8169385,99688,34.399999999999864
26-Apr-2021,1429.0,1402.75,1404.8,15085476,213186.0694785,94547,26.25
27-Apr-2021,1442.0,1404.8,1438.7,10296453,147280.9647065,110473,37.200000000000045
28-Apr-2021,1479.0,1431.0,1476.8,12051970,176343.766586,117809,48.0
29-Apr-2021,1503.65,1461.0,1472.5,12039276,178319.6036675,129233,42.65000000000009
30-Apr-2021,1453.8,1407.5,1412.3,17616451,250352.8980125,85961,46.299999999999955
03-May-2021,1421.9,1377.3,1414.45,11236850,157099.4576335,85866,44.600000000000136
04-May-2021,1423.0,1383.3,1388.35,10743164,150812.19692,77534,39.700000000000045
05-May-2021,1409.6,1381.7,1402.6,7210806,100963.921721,57939,27.899999999999864
06-May-2021,1410.8,1395.0,1400.9,5738522,80531.131063,36925,15.799999999999955
07-May-2021,1424.95,1410.25,1414.75,6024167,85479.585797,48148,14.700000000000045
10-May-2021,1430.0,1412.8,1419.85,5530025,78518.8546525,36994,17.200000000000045
11-May-2021,1424.2,1395.05,1403.55,7259517,102231.213943,51179,29.15000000000009
12-May-2021,1408.6,1388.85,1399.5,6887463,96303.79958,53642,19.75
14-May-2021,1398.9,1382.35,1386.85,5302071,73629.4707885,56051,16.550000000000182
17-May-2021,1442.6,1381.3,1440.25,7560346,107499.465042,98412,61.299999999999955
18-May-2021,1482.75,1455.0,1476.7,11082640,163256.270286,105921,27.75
19-May-2021,1478.85,1452.55,1458.2,5065458,74115.902312,54181,26.299999999999955
20-May-2021,1465.9,1428.5,1432.8,5342092,77316.377008,49625,37.40000000000009
21-May-2021,1501.9,1443.0,1497.3,9670823,142870.857468,127875,58.90000000000009
24-May-2021,1520.45,1498.5,1509.95,11073051,167288.122703,122808,21.950000000000045
25-May-2021,1513.75,1470.5,1478.95,9618487,142735.3892815,121117,43.25
26-May-2021,1487.0,1470.0,1477.05,6141995,90819.2751005,92962,17.0
27-May-2021,1489.0,1462.45,1482.65,10219748,150430.4001515,98444,26.549999999999955
28-May-2021,1513.0,1478.75,1503.45,8875010,132734.374779,61668,34.25
31-May-2021,1519.5,1487.5,1515.85,7830527,118022.8706965,65740,32.0
01-Jun-2021,1527.0,1507.25,1511.7,5515081,83593.764857,49333,19.75
02-Jun-2021,1510.2,1493.0,1504.0,5312008,79680.4768975,40474,17.200000000000045
03-Jun-2021,1524.95,1487.75,1520.55,5143630,77907.803099,50717,37.200000000000045
04-Jun-2021,1520.65,1499.2,1500.95,4712238,71048.080871,43235,21.450000000000045
07-Jun-2021,1514.0,1496.0,1499.85,4045834,60734.882115,34257,18.0
08-Jun-2021,1501.3,1481.5,1483.05,4936270,73401.187638,46777,19.799999999999955
09-Jun-2021,1502.0,1472.05,1480.3,5111721,76064.160869,72791,29.950000000000045
10-Jun-2021,1489.0,1473.65,1481.05,5741770,84975.705545,57382,15.349999999999909
11-Jun-2021,1496.55,1481.05,1486.35,3602987,53600.9393955,56478,15.5
14-Jun-2021,1486.0,1462.55,1479.45,4440982,65469.9819995,68213,23.450000000000045
15-Jun-2021,1496.0,1474.8,1490.25,3784801,56397.5816045,63011,21.200000000000045
16-Jun-2021,1494.0,1478.1,1484.6,3851049,57178.994443,48823,15.900000000000091
17-Jun-2021,1478.75,1460.0,1466.1,4641901,68284.2222205,68296,18.75
18-Jun-2021,1490.0,1455.0,1479.8,5969030,87778.323775,107469,35.0
21-Jun-2021,1491.8,1459.0,1488.7,3630236,53561.085687,87544,32.799999999999955
22-Jun-2021,1508.0,1480.0,1483.8,7183412,107465.4809535,130957,28.0
23-Jun-2021,1497.8,1478.6,1485.5,3922434,58333.7882225,93786,19.200000000000045
24-Jun-2021,1513.45,1488.0,1506.25,7392512,111053.974403,104655,25.450000000000045
25-Jun-2021,1522.0,1507.0,1515.1,5191588,78663.531518,56972,15.0
28-Jun-2021,1523.0,1505.0,1508.35,4678393,70663.374402,40345,18.0
29-Jun-2021,1508.2,1492.15,1502.05,5485846,82190.416073,35968,16.049999999999955
30-Jun-2021,1509.0,1494.1,1497.9,4839511,72642.9715995,37508,14.900000000000091
01-Jul-2021,1502.0,1483.0,1486.75,8455721,126108.2491785,38788,19.0
02-Jul-2021,1489.25,1477.0,1480.4,7413518,109919.260754,38370,12.25
05-Jul-2021,1504.5,1484.55,1495.45,3686941,55216.839479,54446,19.950000000000045
06-Jul-2021,1540.0,1496.0,1534.7,8834516,134908.1820725,124887,44.0
07-Jul-2021,1545.35,1527.7,1539.5,4814595,74117.3051565,51642,17.649999999999864
08-Jul-2021,1537.7,1513.45,1520.45,4210461,64266.3034565,57874,24.25
09-Jul-2021,1516.0,1497.5,1502.0,5347921,80509.526578,55574,18.5
12-Jul-2021,1502.0,1484.0,1487.0,7229489,107933.865059,63779,18.0
13-Jul-2021,1506.1,1484.1,1501.85,9089071,135785.896872,77965,22.0
14-Jul-2021,1507.35,1491.1,1499.15,4894247,73424.5915185,47142,16.25
15-Jul-2021,1526.75,1499.65,1520.7,5219401,79233.0498385,81003,27.09999999999991
16-Jul-2021,1529.95,1518.8,1522.35,2585314,39405.5273925,66135,11.150000000000091
19-Jul-2021,1488.85,1466.0,1471.0,12555800,185527.790561,183230,22.84999999999991
20-Jul-2021,1454.0,1436.15,1443.15,12087125,174460.423456,124398,17.84999999999991
22-Jul-2021,1468.5,1445.0,1448.7,6603557,96134.9216175,103214,23.5
23-Jul-2021,1457.45,1435.3,1442.75,6563342,94854.6585405,103889,22.15000000000009
26-Jul-2021,1444.0,1428.1,1434.55,6583583,94469.652082,95175,15.900000000000091
27-Jul-2021,1449.9,1436.1,1439.75,11200715,161675.233124,112562,13.800000000000182
28-Jul-2021,1438.7,1404.0,1417.3,10335171,146408.2017595,117136,34.700000000000045
29-Jul-2021,1429.95,1413.3,1418.25,6851115,97450.300089,117926,16.65000000000009
30-Jul-2021,1431.75,1407.95,1426.45,5827744,82906.1985285,61160,23.799999999999955
02-Aug-2021,1435.0,1416.25,1422.65,6629393,94527.4888315,46803,18.75
03-Aug-2021,1439.9,1410.0,1434.7,6016560,85935.282588,74255,29.90000000000009
04-Aug-2021,1474.5,1440.0,1465.3,11026974,161318.290928,161716,34.5
05-Aug-2021,1507.05,1457.4,1484.85,9411204,139592.9515995,160622,49.649999999999864
06-Aug-2021,1500.0,1474.0,1492.65,6669635,99407.7328665,88521,26.0
09-Aug-2021,1507.35,1476.0,1503.9,5499024,82565.5464295,77560,31.34999999999991
10-Aug-2021,1519.75,1489.0,1507.65,7419173,112206.855661,100017,30.75
11-Aug-2021,1518.85,1491.05,1494.95,6292893,94485.740273,69570,27.799999999999955
12-Aug-2021,1507.6,1489.3,1501.4,4298837,64425.6692455,47690,18.299999999999955
13-Aug-2021,1531.0,1501.0,1526.2,8329214,126723.6367235,101844,30.0
16-Aug-2021,1535.0,1521.45,1530.6,3126389,47832.4101345,64371,13.549999999999955
17-Aug-2021,1524.0,1505.3,1514.65,4141333,62697.638902,70797,18.700000000000045
18-Aug-2021,1565.35,1508.35,1513.0,11492966,176798.5968555,251258,57.0
20-Aug-2021,1519.8,1486.05,1514.75,6575203,98988.140169,143808,33.75
23-Aug-2021,1533.15,1508.65,1524.6,5421527,82472.9823075,128217,24.5
24-Aug-2021,1564.5,1527.45,1558.85,9190657,142471.9759425,215169,37.049999999999955
25-Aug-2021,1564.8,1548.0,1557.4,3863987,60147.9734815,112138,16.799999999999955
26-Aug-2021,1571.0,1543.45,1554.8,5559501,86691.2359215,123561,27.549999999999955
27-Aug-2021,1558.65,1545.25,1548.45,3191069,49494.591602,48030,13.400000000000091
30-Aug-2021,1570.0,1551.6,1568.25,4524583,70729.247684,58107,18.40000000000009
31-Aug-2021,1583.35,1562.2,1581.4,6031288,95069.850627,70870,21.149999999999864
01-Sep-2021,1598.0,1574.5,1579.1,6211279,98552.7340565,85260,23.5
02-Sep-2021,1592.0,1571.25,1589.0,4809262,76135.44239,44510,20.75
03-Sep-2021,1598.0,1568.3,1576.05,5367667,84933.286409,75480,29.700000000000045
06-Sep-2021,1580.95,1561.95,1565.7,3938448,61811.9113255,47404,19.0
07-Sep-2021,1582.0,1555.2,1569.25,3622748,56870.3098225,64757,26.799999999999955
08-Sep-2021,1580.5,1565.6,1576.4,3362040,52934.2581835,47811,14.900000000000091
09-Sep-2021,1579.45,1561.0,1568.6,4125474,64680.2813775,39121,18.450000000000045
13-Sep-2021,1584.0,1553.65,1555.55,4479582,69900.9495685,44739,30.34999999999991
14-Sep-2021,1564.5,1546.6,1548.55,4879253,75738.8202365,49546,17.90000000000009
15-Sep-2021,1554.8,1535.0,1546.8,7411499,114415.513235,88634,19.799999999999955
16-Sep-2021,1564.3,1536.3,1559.95,5130275,79589.9635825,116534,28.0
17-Sep-2021,1589.0,1559.2,1582.15,10249051,161548.111767,168969,29.799999999999955
20-Sep-2021,1581.7,1558.0,1559.85,4390805,68894.374833,99026,23.700000000000045
21-Sep-2021,1568.65,1528.95,1551.95,7387498,114102.029634,106161,39.700000000000045
22-Sep-2021,1550.15,1530.0,1533.7,5291101,81323.327959,86021,20.15000000000009
23-Sep-2021,1572.0,1542.0,1570.0,6832152,106667.87042,136784,30.0
24-Sep-2021,1607.95,1575.0,1601.55,10403351,165728.9484245,275427,32.950000000000045
